TURN	Wende den Zustand an
TALK	Gesprächsbedingung (Sprechbefehl)
OBJECT	Kartenobjekte (Kontrollpunkte, Schatztruhen, Türen, Privathäuser, Dörfer)
ALWAYS	Immer Bedingung (Reichweitenbedingung, Siegbedingung usw.)
ALWAYS	(eigenartig)Wenn die Spielereinheit ausgewählt ist
ALWAYS	(eigenartig)Wenn die Spielereinheit entschieden wird, sich zu bewegen
ALWAYS	(eigenartig)Wenn die Spielereinheit die Koordinate bewegt wird
TUTORIAL	Tutorial
TRAP	Falle (Bogen, Gargon Ei, Schadensboden)
TRAP	Falle2(Beschädigter Boden der Ruinen 9F nur?)
PLAYER_UNIT	Zum ersten Mal in regelmäßigen Abständen arrangiert
PLAYER_UNIT	Arrangierte Platzierung in schwierigen Zeiten
FREEMAP_PLAYER_UNIT	Wenn ein Dämon erscheintArmeeanordnung 1
FREEMAP_PLAYER_UNIT	Wenn ein Dämon erscheintArmeeanordnung 2
FREEMAP_PLAYER_UNIT	Wenn ein Dämon erscheintHeeresarmee 3
FREEMAP_ENEMY_UNIT	Wenn ein Dämon erscheintDämonische Anordnung 1
FREEMAP_ENEMY_UNIT	Wenn ein Dämon erscheintDämonische Anordnung 2
FREEMAP_ENEMY_UNIT	Wenn ein Dämon erscheintDämonische Anordnung 3
START_EVENT	Kapitel Start-Ereignis
END_EVENT	Ende des Kapitels
